City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
246,Cabo San Lucas,MX,22.89,-109.91,91.4,55,20,8.05,few clouds
247,Vila Velha,BR,-20.33,-40.29,75.0,88,40,8.05,scattered clouds
248,Leh,IN,34.17,77.58,54.32,46,99,6.49,overcast clouds
249,Coruripe,BR,-10.13,-36.18,71.74,73,29,6.6,scattered clouds
250,Katsuura,JP,35.13,140.3,87.01,81,0,1.99,clear sky
251,Poya,NC,-21.35,165.15,69.71,62,78,5.32,broken clouds
252,Luchegorsk,RU,46.48,134.26,69.04,96,100,6.62,overcast clouds
253,Kampot,KH,10.62,104.18,84.2,74,20,10.29,few clouds
254,Salalah,OM,17.02,54.09,75.2,100,90,3.36,mist
255,San Patricio,MX,19.22,-104.7,76.06,93,100,6.73,heavy intensity rain
256,Deputatskiy,RU,69.3,139.9,39.97,71,0,3.4,clear sky
257,Baracoa,CU,20.35,-74.5,82.11,81,6,5.44,clear sky
258,Takoradi,GH,4.88,-1.76,75.38,87,36,9.22,scattered clouds
259,Tiksi,RU,71.69,128.87,46.22,63,0,6.33,clear sky
260,Ullapool,GB,57.9,-5.16,50.0,85,100,4.0,overcast clouds
261,Kirovskiy,RU,45.09,133.51,74.52,84,85,7.63,overcast clouds
262,Saldanha,ZA,-33.01,17.94,55.4,76,61,2.24,broken clouds
263,Muisne,EC,0.6,-80.03,78.8,83,90,5.82,overcast clouds
264,Hun,LY,29.13,15.95,74.5,56,0,6.17,clear sky
265,Banjarmasin,ID,-3.32,114.59,73.4,94,20,1.12,few clouds
266,Horsham,GB,51.06,-0.33,57.2,93,20,8.05,few clouds
267,Sao Filipe,CV,14.9,-24.5,78.24,86,100,4.83,overcast clouds
268,Sibiti,CG,-3.68,13.35,70.29,88,96,2.73,moderate rain
269,Nanortalik,GL,60.14,-45.24,49.46,71,100,12.75,overcast clouds
270,Shingu,JP,33.73,135.98,84.2,74,40,2.24,scattered clouds
271,Zhicheng,CN,30.3,111.5,78.01,85,0,2.06,clear sky
272,Panaba,MX,21.28,-88.27,84.4,70,71,13.51,light rain
273,North Platte,US,41.12,-100.77,95.0,30,1,12.75,clear sky
274,Kijang,KR,35.24,129.21,78.8,88,75,1.12,light rain
275,Tartagal,AR,-22.52,-63.8,73.51,56,73,3.78,broken clouds
276,Zhigansk,RU,66.77,123.37,51.69,53,3,8.72,clear sky
277,Nioro,GM,13.35,-15.75,75.52,95,100,5.88,overcast clouds
278,Bucerias,MX,20.75,-105.33,87.01,74,75,2.24,broken clouds
279,Dali,CN,25.7,100.18,61.93,87,97,4.25,overcast clouds
280,Tsiroanomandidy,MG,-18.77,46.03,69.51,59,85,2.55,overcast clouds
281,Pevek,RU,69.7,170.31,39.96,87,9,3.49,clear sky
282,Mahebourg,MU,-20.41,57.7,71.6,73,40,2.24,shower rain
283,Husavik,IS,66.04,-17.34,48.2,70,90,18.34,overcast clouds
284,Porirua,NZ,-41.13,174.85,54.0,82,97,15.01,overcast clouds
285,Kodinsk,RU,58.69,99.18,50.95,93,47,2.75,scattered clouds
286,Pangnirtung,CA,66.15,-65.71,46.4,87,20,9.17,few clouds
287,Nenjiang,CN,49.18,125.22,59.94,61,100,15.35,overcast clouds
288,Erice,IT,38.04,12.59,75.2,83,8,1.12,clear sky
289,Matamoros,MX,25.53,-103.25,96.8,26,40,12.75,scattered clouds
290,Emba,KZ,48.83,58.14,72.77,33,4,3.4,clear sky
291,Wagar,SD,16.15,36.2,87.19,52,73,14.92,broken clouds
292,Richards Bay,ZA,-28.78,32.04,66.81,64,41,14.27,scattered clouds
293,Bayir,TR,37.27,28.22,69.8,77,0,1.12,clear sky
294,Tecpatan,MX,17.13,-93.3,87.8,55,40,4.7,scattered clouds
295,Tahta,EG,26.77,31.5,82.4,28,0,6.93,clear sky
296,Igrim,RU,63.19,64.42,55.35,97,86,7.56,light rain
297,San Buenaventura,MX,27.08,-101.53,100.0,22,17,8.01,few clouds
298,Mandvi,IN,22.83,69.37,81.55,86,100,12.91,light rain
299,Korla,CN,41.76,86.15,70.0,97,100,17.63,overcast clouds
300,Rabo De Peixe,PT,37.8,-25.58,75.2,78,20,4.7,few clouds
301,Matadi,CD,-5.82,13.45,76.14,74,100,5.23,light rain
302,Ndjole,GA,-0.18,10.76,74.35,92,100,4.34,light rain
303,Hovd,MN,48.01,91.64,55.29,40,100,2.28,overcast clouds
304,Kayes,ML,14.0,-11.0,77.38,89,76,7.43,moderate rain
305,Vanino,RU,49.09,140.25,59.88,96,100,4.92,moderate rain
306,Kuah,MY,6.33,99.84,80.6,88,96,2.24,light rain
307,Pingzhuang,CN,42.04,119.29,64.92,83,94,6.4,overcast clouds
308,Santa Maria,BR,-29.68,-53.81,68.0,82,50,6.93,scattered clouds
309,Uglegorsk,RU,49.08,142.03,63.57,95,100,1.41,light rain
310,Shimoda,JP,34.67,138.95,77.0,96,7,1.01,light rain
311,Buala,SB,-8.14,159.59,83.5,76,100,13.02,light rain
312,Mayor Pablo Lagerenza,PY,-19.93,-60.77,87.58,30,0,5.1,clear sky
313,Coquimbo,CL,-29.95,-71.34,55.4,71,40,9.17,scattered clouds
314,Rapid Valley,US,44.06,-103.15,87.8,40,1,11.41,smoke
315,Castro,BR,-24.79,-50.01,56.05,78,0,3.06,clear sky
316,Roald,NO,62.58,6.13,53.6,81,86,16.11,overcast clouds
317,Lanark,GB,55.67,-3.78,55.0,96,100,13.24,light rain
318,Fortuna,US,40.6,-124.16,64.0,77,1,13.87,clear sky
319,Naze,JP,28.37,129.48,82.4,94,75,9.17,broken clouds
320,Azul,AR,-36.78,-59.86,51.48,60,0,3.83,clear sky
321,Sainte-Martine,CA,45.25,-73.8,63.0,59,75,5.82,broken clouds
322,Bokoro,TD,12.38,17.06,81.72,69,76,7.58,broken clouds
323,Carbonia,IT,39.17,8.52,78.01,88,0,9.17,clear sky
324,Madisonville,US,37.33,-87.5,89.6,59,1,5.06,clear sky
325,Honiara,SB,-9.43,159.95,82.4,83,75,8.05,broken clouds
326,Sharan,RU,54.82,54.0,62.98,59,68,4.97,broken clouds
327,Karaton,ID,-6.34,106.1,84.0,78,35,5.82,haze
328,Adolfo Lopez Mateos,MX,28.47,-107.3,78.46,30,11,9.15,few clouds
329,Seydi,TM,39.48,62.91,68.72,41,0,12.39,clear sky
330,Riyadh,SA,24.69,46.72,87.8,25,0,4.09,clear sky
331,Krasnoselkup,RU,65.7,82.47,53.47,90,36,5.61,scattered clouds
332,Truth Or Consequences,US,33.13,-107.25,96.8,16,1,6.93,clear sky
333,Umm Kaddadah,SD,13.6,26.69,81.95,48,100,17.56,overcast clouds
334,Shaoyang,CN,27.23,111.45,74.8,79,0,1.05,clear sky
335,Weyburn,CA,49.67,-103.85,82.04,26,100,6.6,overcast clouds
336,Miandrivazo,MG,-19.52,45.47,73.22,61,16,2.46,few clouds
337,Trstena,SK,49.36,19.61,51.8,71,35,12.75,scattered clouds
338,Zyryanka,RU,65.75,150.85,49.35,62,68,7.54,broken clouds
339,Udachnyy,RU,66.42,112.4,50.0,46,40,4.47,haze
340,Hofn,IS,64.25,-15.21,49.12,80,6,3.6,clear sky
341,Tuatapere,NZ,-46.13,167.68,45.0,72,70,11.01,light rain
342,Kattivakkam,IN,13.22,80.32,78.8,83,75,5.82,mist
343,Sao Miguel Dos Campos,BR,-9.78,-36.09,73.4,78,41,4.7,scattered clouds
344,Mehamn,NO,71.04,27.85,46.4,70,40,16.11,scattered clouds
345,Abu Kamal,SY,34.45,40.92,81.7,23,0,8.34,clear sky
346,Fairview,US,40.81,-74.0,93.2,43,1,14.99,clear sky
347,Severo-Kurilsk,RU,50.68,156.12,52.61,81,95,12.62,overcast clouds
348,Grand Gaube,MU,-20.01,57.66,68.0,78,70,4.0,broken clouds
349,Gravdal,NO,68.12,13.5,50.32,71,99,8.61,light rain
350,Udgir,IN,18.38,77.12,70.02,97,100,5.35,overcast clouds
351,Axim,GH,4.87,-2.24,75.81,86,29,9.08,scattered clouds
352,Chuy,UY,-33.7,-53.46,57.54,98,100,5.21,moderate rain
353,Avera,US,33.19,-82.53,87.8,70,1,3.36,clear sky
354,Denpasar,ID,-8.65,115.22,78.8,100,40,6.93,scattered clouds
355,Quatre Cocos,MU,-20.21,57.76,71.6,73,40,2.24,shower rain
356,Alice Springs,AU,-23.7,133.88,51.8,32,0,5.82,clear sky
357,Maceio,BR,-9.67,-35.74,73.4,78,72,4.7,broken clouds
358,Ixtapa,MX,20.7,-105.2,88.0,74,75,2.24,broken clouds
359,Benjamin Constant,BR,-4.38,-70.03,86.0,70,99,1.5,overcast clouds
360,Moerai,PF,-22.43,-151.33,70.36,68,31,4.61,scattered clouds
361,Feijo,BR,-8.16,-70.35,83.25,43,13,1.23,few clouds
362,Berbera,SO,10.44,45.01,91.99,47,69,11.59,broken clouds
363,Daru,PG,-9.08,143.21,77.95,82,91,20.4,light rain
